Export Parameters
Hansatech Instruments Ltd Handy PEA Data
PEA Plus Version: 1.13
Format:2a
Comment1:                                                                                                   
Comment2:                                                                                                   
Comment3:                                                                                                   
Comment4:                                                                                                   

Calculate PI using Fo=TRUE

Record No,P. Light,P. Dur.(sec),Light,Gain,Dur.(sec),Flash,Date,Time,ID,Scaled,Scale,Offset,Protocol,Dark Offset, ,t for Fm,Area,Fo,Fm,Fv,F1,F2,F3,F4,F5,Fo/Fm,Fv/Fm,PI Inst.,Fv/Fo,Vj,Vi,dVG/dto,dV/dto,Sm,N,Sm/t(Fm),ABS/RC,DIo/RC,TRo/RC,ETo/RC,REo/RC,phi(Po),psi(Eo),phi(Eo),delta(Ro),phi(Ro),ABS/CSo,DIo/CSo,TRo/CSo,ETo/CSo,REo/CSo,ABS/CSm,DIo/CSm,TRo/CSm,ETo/CSm,REo/CSm,gamma(RC)/((1-gamma(RC)),phi(Po)/((1-phi(Po)),psi(Eo)/(1-psi(Eo)),PI abs,dRo/(1-dRo),PI total,DF abs,DF Total,kP / ABS * kF,kN / ABS * kF,Origin to F1,F1 to F3,F1 to F4,F1 to F5,F3 to F4,F4 to F5,F5 to Fm,
258,0,0,1500,1.0,1.00,1,01/01/00,05:30:10,       , NO,-,-,0,0,,700.00,47839,403,1799,1396,479,548,823,1201,1482,0.2240,0.776,0.9568,3.464,0.5716,0.7729,0.4943,1.0029,34.2688,60.1207,0.0490,2.2608,0.5065,1.7544,0.7515,0.398,0.7760,0.4284,0.3324,0.5301,0.1762,403.0000,90.2774,312.7226,133.9600,71.0122,1799.00000,403.0000,1396.00000,598.0000,317.0000,0.4423,3.464,0.7494,1.148,1.1281,1.2953,0.0600,0.1124,0.0019,0.0006,54,285,1457,13476,1171,12019,34310,
259,0,0,1500,1.0,1.00,1,01/01/00,05:30:23,       , NO,-,-,0,0,,800.00,60464,394,2065,1671,450,496,729,1242,1657,0.1908,0.809,2.1078,4.241,0.5075,0.7558,0.2753,0.6683,36.1844,47.6485,0.0452,1.6273,0.3105,1.3168,0.6486,0.322,0.8092,0.4925,0.3985,0.4957,0.1976,394.0000,75.1748,318.8252,157.0276,77.8460,2065.00000,394.0000,1671.00000,823.0000,408.0000,0.6145,4.241,0.9705,2.529,0.9831,2.4867,0.4030,0.3956,0.0021,0.0005,65,370,2009,17819,1639,15810,42580,
260,0,0,1500,1.0,1.00,1,01/01/00,05:30:41,       , NO,-,-,0,0,,800.00,48160,387,1717,1330,442,494,716,1093,1374,0.2254,0.775,1.2623,3.437,0.5308,0.7421,0.3910,0.8246,36.2108,56.2482,0.0453,2.0053,0.4520,1.5534,0.7288,0.401,0.7746,0.4692,0.3634,0.5497,0.1998,387.0000,87.2271,299.7729,140.6453,77.3098,1717.00000,387.0000,1330.00000,624.0000,343.0000,0.4987,3.437,0.8839,1.515,1.2206,1.8489,0.1803,0.2669,0.0020,0.0006,52,284,1505,13814,1221,12309,34295,
261,0,0,1500,1.0,1.00,1,01/01/00,05:30:56,       , NO,-,-,0,0,,900.00,64637,380,1868,1488,421,458,637,1100,1452,0.2034,0.797,2.3303,3.916,0.4839,0.7204,0.2487,0.5757,43.4389,51.6843,0.0483,1.4937,0.3039,1.1898,0.6141,0.333,0.7966,0.5161,0.4111,0.5417,0.2227,380.0000,77.3019,302.6981,156.2313,84.6253,1868.00000,380.0000,1488.00000,768.0000,416.0000,0.6695,3.916,1.0667,2.796,1.1818,3.3048,0.4466,0.5191,0.0021,0.0005,58,336,1872,16919,1536,15047,47660,
262,0,0,1500,1.0,1.00,1,01/01/00,05:31:11,       , NO,-,-,0,0,,700.00,29329,358,1365,1007,421,479,702,971,1154,0.2623,0.738,0.5942,2.813,0.6087,0.7905,0.5760,1.1387,29.1256,54.4818,0.0416,2.5356,0.6650,1.8706,0.7319,0.392,0.7377,0.3913,0.2886,0.5355,0.1546,358.0000,93.8930,264.1070,103.3348,55.3392,1365.00000,358.0000,1007.00000,394.0000,211.0000,0.3944,2.813,0.6427,0.713,1.1530,0.8221,-0.1469,-0.0851,0.0021,0.0007,38,199,972,8706,773,7735,20585,
263,0,0,1500,1.0,1.00,1,01/01/00,05:32:00,       , NO,-,-,0,0,,300.00,41281,394,2194,1800,519,629,1057,1493,1888,0.1796,0.820,0.9907,4.569,0.6106,0.8300,0.6111,1.2278,22.9339,46.1182,0.0764,2.4511,0.4402,2.0109,0.7831,0.342,0.8204,0.3894,0.3195,0.4365,0.1395,394.0000,70.7548,323.2452,125.8861,54.9517,2194.00000,394.0000,1800.00000,701.0000,306.0000,0.4080,4.569,0.6379,1.189,0.7747,0.9210,0.0751,-0.0357,0.0021,0.0005,68,348,1681,15123,1333,13442,26090,
264,0,0,1500,1.0,1.00,1,01/01/00,05:32:09,       , NO,-,-,0,0,,700.00,59861,423,2466,2043,505,577,903,1467,2033,0.1715,0.828,2.0819,4.830,0.5110,0.7881,0.3524,0.7832,29.3007,44.9053,0.0419,1.8499,0.3173,1.5326,0.7494,0.325,0.8285,0.4890,0.4051,0.4334,0.1756,423.0000,72.5584,350.4416,171.3613,74.2737,2466.00000,423.0000,2043.00000,999.00000,433.0000,0.5406,4.830,0.9569,2.498,0.7650,1.9113,0.3976,0.2813,0.0020,0.0004,79,441,2370,21087,1930,18717,38695,
265,0,0,1500,1.0,1.00,1,01/01/00,05:32:28,       , NO,-,-,0,0,,600.00,58205,406,2520,2114,503,586,959,1527,2112,0.1611,0.839,1.9609,5.207,0.5303,0.8070,0.3926,0.8720,27.5331,45.2744,0.0459,1.9602,0.3158,1.6444,0.7724,0.317,0.8389,0.4697,0.3940,0.4109,0.1619,406.0000,65.4111,340.5889,159.9833,65.7333,2520.00000,406.0000,2114.00000,993.0000,408.0000,0.5102,5.207,0.8858,2.353,0.6974,1.6411,0.3716,0.2151,0.0021,0.0004,82,447,2347,20718,1901,18371,37405,
266,0,0,1500,1.0,1.00,1,01/01/00,05:32:59,       , NO,-,-,0,0,,600.00,33946,409,1606,1197,522,634,958,1210,1403,0.2547,0.745,0.3934,2.927,0.6692,0.8304,0.9357,1.5288,28.3593,64.7908,0.0473,3.0653,0.7806,2.2846,0.7558,0.387,0.7453,0.3308,0.2466,0.5126,0.1264,409.0000,104.1600,304.8400,100.8493,51.6980,1606.00000,409.0000,1197.00000,396.0000,203.0000,0.3262,2.927,0.4944,0.472,1.0518,0.4965,-0.3260,-0.3041,0.0018,0.0006,45,208,968,8986,760,8018,24915,
267,0,0,1500,1.0,1.00,1,01/01/00,05:33:08,       , NO,-,-,0,0,,700.00,47533,418,1876,1458,503,580,893,1296,1574,0.2228,0.777,0.8275,3.488,0.6022,0.7929,0.5281,1.0860,32.6012,58.7911,0.0466,2.3203,0.5170,1.8033,0.7174,0.374,0.7772,0.3978,0.3092,0.5207,0.1610,418.0000,93.1365,324.8635,129.2324,67.2900,1876.00000,418.0000,1458.00000,580.0000,302.0000,0.4310,3.488,0.6606,0.993,1.0863,1.0788,-0.0030,0.0329,0.0019,0.0005,56,292,1437,13182,1144,11745,34295,
268,0,0,1500,1.0,1.00,1,01/01/00,05:33:19,       , NO,-,-,0,0,,700.00,56658,422,1933,1511,490,550,814,1277,1593,0.2183,0.782,1.1710,3.581,0.5659,0.7750,0.3971,0.8648,37.4971,57.3055,0.0536,1.9551,0.4268,1.5283,0.6635,0.344,0.7817,0.4341,0.3394,0.5183,0.1759,422.0000,92.1283,329.8717,143.2137,74.2266,1933.00000,422.0000,1511.00000,656.0000,340.0000,0.5115,3.581,0.7673,1.405,1.0759,1.5119,0.1477,0.1795,0.0019,0.0005,59,320,1639,14850,1319,13211,41750,
269,0,0,1500,1.0,1.00,1,01/01/00,05:33:49,       , NO,-,-,0,0,,800.00,45363,434,1758,1324,533,629,951,1259,1487,0.2469,0.753,0.5544,3.051,0.6231,0.7953,0.7251,1.3016,34.2619,71.5693,0.0428,2.7736,0.6847,2.0889,0.7873,0.428,0.7531,0.3769,0.2838,0.5431,0.1542,434.0000,107.1422,326.8578,123.1889,66.9022,1758.00000,434.0000,1324.00000,499.0000,271.0000,0.3605,3.051,0.6048,0.665,1.1886,0.7907,-0.1770,-0.1020,0.0017,0.0006,50,249,1208,11473,959,10265,33840,
270,0,0,1500,1.0,1.00,1,01/01/00,05:33:59,       , NO,-,-,0,0,,700.00,42147,398,1505,1107,470,541,786,1061,1267,0.2645,0.736,0.5853,2.781,0.5989,0.7850,0.6414,1.1683,38.0728,74.2696,0.0544,2.6521,0.7013,1.9507,0.7824,0.419,0.7355,0.4011,0.2950,0.5360,0.1581,398.0000,105.2518,292.7482,117.4166,62.9395,1505.00000,398.0000,1107.00000,444.0000,238.0000,0.3771,2.781,0.6697,0.702,1.1553,0.8114,-0.1535,-0.0907,0.0018,0.0007,42,216,1077,9904,861,8827,32200,
271,0,0,1500,1.0,1.00,1,01/01/00,05:34:12,       , NO,-,-,0,0,,700.00,51290,400,1819,1419,470,531,799,1238,1508,0.2199,0.780,1.0074,3.547,0.5906,0.7808,0.4299,0.9373,36.1450,57.3662,0.0516,2.0345,0.4474,1.5871,0.6498,0.348,0.7801,0.4094,0.3194,0.5353,0.1710,400.0000,87.9604,312.0396,127.7625,68.3892,1819.00000,400.0000,1419.00000,581.0000,311.0000,0.4915,3.547,0.6933,1.209,1.1519,1.3925,0.0824,0.1438,0.0020,0.0005,55,296,1473,13385,1178,11912,37850,
272,0,0,1500,1.0,1.00,1,01/01/00,05:34:55,       , NO,-,-,0,0,,500.00,59642,385,2367,1982,455,515,815,1420,1936,0.1627,0.837,2.3734,5.148,0.5222,0.7825,0.3027,0.7232,30.0921,41.6734,0.0602,1.6539,0.2690,1.3849,0.6617,0.301,0.8373,0.4778,0.4001,0.4551,0.1821,385.0000,62.6215,322.3785,154.0325,70.1035,2367.00000,385.0000,1982.00000,947.0000,431.0000,0.6046,5.148,0.9150,2.848,0.8353,2.3789,0.4546,0.3764,0.0022,0.0004,77,435,2308,20555,1874,18247,39010,
273,0,0,1500,1.0,1.00,1,01/01/00,05:35:09,       , NO,-,-,0,0,,290.00,43253,379,2319,1940,478,565,951,1487,1995,0.1634,0.837,1.5572,5.119,0.5711,0.8330,0.4485,0.9828,22.2952,38.3659,0.0769,2.0570,0.3362,1.7208,0.7380,0.287,0.8366,0.4289,0.3588,0.3894,0.1397,379.0000,61.9409,317.0591,135.9759,52.9521,2319.00000,379.0000,1940.00000,832.0000,324.0000,0.4861,5.119,0.7509,1.869,0.6378,1.1918,0.2715,0.0762,0.0022,0.0004,75,400,2008,17288,1608,15280,25890,
274,0,0,1500,1.0,1.00,1,01/01/00,05:35:26,       , NO,-,-,0,0,,400.00,32236,350,1523,1173,441,527,832,1122,1307,0.2298,0.770,0.5369,3.351,0.6581,0.8159,0.7332,1.3697,27.4815,57.1937,0.0687,2.7022,0.6210,2.0812,0.7115,0.383,0.7702,0.3419,0.2633,0.5387,0.1418,350.0000,80.4334,269.5666,92.1536,49.6389,1523.00000,350.0000,1173.00000,401.0000,216.0000,0.3701,3.351,0.5194,0.644,1.1676,0.7522,-0.1910,-0.1237,0.0022,0.0007,44,218,1007,9426,789,8420,22765,
275,0,0,1500,1.0,1.00,1,01/01/00,05:35:51,       , NO,-,-,0,0,,700.00,49079,430,1767,1337,522,610,923,1259,1498,0.2434,0.757,0.6061,3.109,0.6200,0.7988,0.6582,1.2291,36.7085,72.7676,0.0524,2.6198,0.6375,1.9823,0.7532,0.399,0.7566,0.3800,0.2875,0.5295,0.1522,430.0000,104.6406,325.3594,123.6220,65.4612,1767.00000,430.0000,1337.00000,508.0000,269.0000,0.3817,3.109,0.6128,0.727,1.1255,0.8186,-0.1383,-0.0869,0.0018,0.0006,51,257,1250,11633,993,10383,37395,
276,0,0,1500,1.0,1.00,1,01/01/00,05:35:59,       , NO,-,-,0,0,,800.00,63527,391,1964,1573,448,497,734,1242,1585,0.1991,0.801,1.6956,4.023,0.5410,0.7591,0.3115,0.7268,40.3856,54.2588,0.0505,1.6775,0.3340,1.3435,0.6167,0.324,0.8009,0.4590,0.3676,0.5249,0.1930,391.0000,77.8416,313.1584,143.7383,75.4526,1964.00000,391.0000,1573.00000,722.0000,379.0000,0.5961,4.023,0.8484,2.035,1.1050,2.2483,0.3085,0.3518,0.0020,0.0005,61,344,1814,16355,1470,14541,47110,
277,0,0,1500,1.0,1.00,1,01/01/00,05:36:11,       , NO,-,-,0,0,,700.00,54249,428,1973,1545,513,588,902,1351,1653,0.2169,0.783,0.9273,3.610,0.5974,0.7929,0.4854,1.0227,35.1125,60.1060,0.0502,2.1860,0.4742,1.7118,0.6892,0.355,0.7831,0.4026,0.3153,0.5145,0.1622,428.0000,92.8454,335.1546,134.9295,69.4171,1973.00000,428.0000,1545.00000,622.0000,320.0000,0.4575,3.610,0.6739,1.113,1.0596,1.1791,0.0464,0.0716,0.0018,0.0005,59,315,1558,14230,1242,12672,39960,
278,0,0,1500,1.0,1.00,1,01/01/00,05:36:32,       , NO,-,-,0,0,,900.00,53141,407,1812,1405,476,536,797,1227,1495,0.2246,0.775,1.0038,3.452,0.5836,0.7744,0.4270,0.9253,37.8227,59.9628,0.0420,2.0446,0.4592,1.5854,0.6601,0.358,0.7754,0.4164,0.3228,0.5419,0.1749,407.0000,91.4178,315.5822,131.3990,71.2025,1812.00000,407.0000,1405.00000,585.0000,317.0000,0.4891,3.452,0.7134,1.205,1.1828,1.4247,0.0808,0.1537,0.0019,0.0006,54,293,1475,13487,1182,12011,39600,
279,0,0,1500,1.0,1.00,1,01/01/00,05:36:42,       , NO,-,-,0,0,,600.00,37942,412,1689,1277,519,620,950,1246,1455,0.2439,0.756,0.4824,3.100,0.6531,0.8168,0.7909,1.4043,29.7118,63.8887,0.0495,2.8440,0.6937,2.1503,0.7459,0.394,0.7561,0.3469,0.2623,0.5282,0.1385,412.0000,100.4997,311.5003,108.0616,57.0799,1689.00000,412.0000,1277.00000,443.0000,234.0000,0.3516,3.100,0.5312,0.579,1.1196,0.6481,-0.2374,-0.1883,0.0018,0.0006,48,232,1091,10289,858,9198,27605,
280,0,0,1500,1.0,1.00,1,01/01/00,05:36:53,       , NO,-,-,0,0,,700.00,43406,377,1517,1140,446,511,756,1083,1275,0.2485,0.751,0.6505,3.024,0.6193,0.7877,0.5702,1.1082,38.0755,68.1332,0.0544,2.3812,0.5918,1.7894,0.6812,0.380,0.7515,0.3807,0.2861,0.5576,0.1595,377.0000,93.6908,283.3092,107.8563,60.1411,1517.00000,377.0000,1140.00000,434.0000,242.0000,0.4200,3.024,0.6147,0.781,1.2604,0.9839,-0.1075,-0.0070,0.0020,0.0007,44,227,1099,10142,872,9044,33220,
281,0,0,1500,1.0,1.00,1,01/01/00,05:37:32,       , NO,-,-,0,0,,300.00,38074,369,1850,1481,476,573,940,1306,1582,0.1995,0.801,0.7653,4.014,0.6327,0.8190,0.6550,1.2852,25.7086,52.2220,0.0857,2.5374,0.5061,2.0313,0.7461,0.368,0.8005,0.3673,0.2941,0.4926,0.1449,369.0000,73.6005,295.3995,108.5059,53.4551,1850.00000,369.0000,1481.00000,544.0000,268.0000,0.3941,4.014,0.5806,0.918,0.9710,0.8917,-0.0370,-0.0498,0.0022,0.0005,56,282,1334,12148,1052,10814,25870,
282,0,0,1500,1.0,1.00,1,01/01/00,05:37:50,       , NO,-,-,0,0,,700.00,55992,441,1929,1488,532,617,933,1294,1592,0.2286,0.771,0.8398,3.374,0.5733,0.7735,0.5712,1.1022,37.6289,72.3464,0.0538,2.4924,0.5698,1.9226,0.8205,0.435,0.7714,0.4267,0.3292,0.5307,0.1747,441.0000,100.8196,340.1804,145.1711,77.0435,1929.00000,441.0000,1488.00000,635.0000,337.0000,0.4012,3.374,0.7444,1.008,1.1309,1.1397,0.0034,0.0568,0.0017,0.0005,57,296,1507,14420,1211,12913,41515,
283,0,0,1500,1.0,1.00,1,01/01/00,05:38:24,       , NO,-,-,0,0,,700.00,47934,477,1768,1291,554,618,888,1246,1488,0.2698,0.730,0.6275,2.706,0.5957,0.7831,0.4957,1.0612,37.1291,66.1468,0.0530,2.4398,0.6582,1.7815,0.7203,0.386,0.7302,0.4043,0.2952,0.5364,0.1584,477.0000,128.6929,348.3071,140.8337,75.5430,1768.00000,477.0000,1291.00000,522.0000,280.0000,0.4099,2.706,0.6788,0.753,1.1570,0.8713,-0.1232,-0.0599,0.0015,0.0006,50,260,1289,11919,1029,10630,35965,
284,0,0,1500,1.0,1.00,1,01/01/00,05:38:32,       , NO,-,-,0,0,,700.00,52618,441,1646,1205,498,552,777,1112,1337,0.2679,0.732,0.7948,2.732,0.5568,0.7436,0.4481,0.9295,43.6661,72.8853,0.0624,2.2800,0.6109,1.6692,0.7397,0.428,0.7321,0.4432,0.3244,0.5787,0.1877,441.0000,118.1537,322.8463,143.0705,82.7880,1646.00000,441.0000,1205.00000,534.0000,309.0000,0.4386,2.732,0.7958,0.954,1.3733,1.3098,-0.0206,0.1172,0.0017,0.0006,47,251,1296,12431,1045,11135,40140,
285,0,0,1500,1.0,1.00,1,01/01/00,05:38:47,       , NO,-,-,0,0,,800.00,58969,436,1844,1408,516,589,872,1229,1503,0.2364,0.764,0.8695,3.229,0.5632,0.7578,0.5185,1.0322,41.8810,76.7555,0.0524,2.4002,0.5675,1.8327,0.8005,0.444,0.7636,0.4368,0.3335,0.5545,0.1849,436.0000,103.0889,332.9111,145.4121,80.6269,1844.00000,436.0000,1408.00000,615.0000,341.0000,0.4166,3.229,0.7755,1.043,1.2445,1.2986,0.0185,0.1135,0.0018,0.0005,54,285,1466,14224,1180,12759,44690,
286,0,0,1500,1.0,1.00,1,01/01/00,05:39:02,       , NO,-,-,0,0,,900.00,72154,427,1842,1415,471,507,678,1070,1406,0.2318,0.768,1.9574,3.314,0.4544,0.6919,0.2544,0.5913,50.9922,66.3506,0.0567,1.6938,0.3927,1.3012,0.7099,0.401,0.7682,0.5456,0.4191,0.5648,0.2367,427.0000,98.9843,328.0157,178.9598,101.0706,1842.00000,427.0000,1415.00000,772.0000,436.0000,0.5904,3.314,1.2006,2.349,1.2976,3.0479,0.3709,0.4840,0.0018,0.0005,55,317,1816,17159,1499,15342,54940,
287,0,0,1500,1.0,1.00,1,01/01/00,05:39:13,       , NO,-,-,0,0,,700.00,44300,449,1706,1257,522,594,860,1174,1419,0.2632,0.737,0.6675,2.800,0.5768,0.7717,0.5728,1.0899,35.2424,66.5960,0.0503,2.5646,0.6750,1.8897,0.7998,0.431,0.7368,0.4232,0.3118,0.5395,0.1682,449.0000,118.1717,330.8283,140.0164,75.5352,1706.00000,449.0000,1257.00000,532.0000,287.0000,0.3899,2.800,0.7338,0.801,1.1714,0.9383,-0.0964,-0.0276,0.0016,0.0006,48,251,1274,11852,1023,10577,32400,
288,0,0,1500,1.0,1.00,1,01/01/00,05:39:23,       , NO,-,-,0,0,,700.00,31395,372,1334,962,439,503,727,945,1108,0.2789,0.721,0.5109,2.586,0.5956,0.7651,0.6653,1.2301,32.6351,67.3965,0.0466,2.8637,0.7986,2.0652,0.8351,0.485,0.7211,0.4044,0.2916,0.5810,0.1694,372.0000,103.7361,268.2639,108.4768,63.0225,1334.00000,372.0000,962.0000,389.0000,226.0000,0.3492,2.586,0.6789,0.613,1.3865,0.8500,-0.2125,-0.0706,0.0019,0.0007,37,185,920,8828,735,7908,22530,

End Of File
